original,substitution,total_substitutions
ɪ,i,2777
ɹ,r,1948
ɪ,j,1763
ɨ,i,1564
ɾ,r,1428
ɨ,ɛ,1400
ɪ,ɨ,1392
a,aː,1362
g,ɡ,1350
ɑ,aː,1251
ɹ,w,1223
ɦ,h,1204
ʌ,a,1126
æ,aː,1082
ɑ,a,987
ɔ,o,963
ɪ,ɛ,956
ð,d,949
ʃ,ɕ,937
e,ɛ,880
æ,ɛ,866
d,d͡ʑ,855
æ,a,815
z,s,813
ə,ɔ,803
ɪ,e,779
ɹ,ɾ,775
l,w,763
ʃ,ʂ,728
ɾ̃,n,699
ʊ,w,696
ɹ,v,684
ɨ,e,627
i,iː,618
ð,t,616
o,ɔ,592
ŋ,n,592
ə,ɛ,503
e,a,495
i,j,486
ɚ,r,465
t,d,437
t,t͡ɕ,427
ə,a,415
ɾ,d,407
ɛ,a,406
ə,ɨ,393
l̩,ɔ,389
d,t,384
ɹ,ɻ,375
ɚ,ø,374
ɛ,e,369
ʊ,u,363
ʔ,e,353
l,ɔ,351
ʔ,a,350
ɹ̩,ø,348
ʔ,ɛ,346
ɪ,e̞,331
n̩,n,330
ʌ,ɔ,327
ɔ,aː,326
ɨ,j,324
t,t͡s,323
t,t͡ʃ,314
ʉ,yː,305
ɹ,j,302
ɨ,e̞,302
ɨ,ɯ,299
ɨ,ɔ,297
ə,ɒ,296
ɪ,iː,295
ɨ,ø,294
w,u,293
ɚ,ɔ,290
ʌ,ɒ,289
ɔ,a,288
ʌ,ɛ,288
ʉ,y,284
ɑ,ɒ,283
ɹ̩,ɛ,282
ʉ,u,279
ɚ,ɨ,270
ɚ,u,265
ʉ,ɯː,260
t,r,256
ɪ,r,252
ʊ,n,250
b,p,250
ɚ,o,248
t,t͡ʂ,240
ɹ̩,o,239
ɪ,ɡ,237
ɚ,ɛ,236
ɑ,äː,232
θ,t,229
g,k,226
ʊ,o,225
a,ä,223
ʊ,ɔ,221
s,t͡s,217
ɹ̩,ɔ,217
o,ɛ,214
d,r,214
ɑ,ä,213
ʔ,o,212
ɨ,a,209
ɨ,n,208
ɔ,oː,207
ɹ,a,206
o,a,206
j,i,202
ɚ,ɒ,201
k,ɡ,201
ʉ,ɯ,198
ə,o,192
ʔ,j,192
ɔ,ɑ,189
ɹ̩,r,188
l̩,o,185
ɔ,ä,179
ɑ,ɔ,177
æ,j,176
ŋ,ɲ,174
e,i,173
p,b,171
ə,u,171
o,o̞,171
t,n,168
ɪ,eː,168
ɚ,ɾ,167
ɔ,ɒ,167
ɨ,u,166
i,e,163
ɨ,r,162
i,ɛ,161
ʉ,i,161
ɪ,n,158
ʔ,ɒ,155
ʒ,ɛ,154
o,ɒ,154
d,d͡ʒ,153
æ,ä,151
ɔ,j,148
i,ɨ,148
s,ʂ,144
ɪ,d,144
ɚ,ɯ,144
e,eː,141
z,t͡s,141
ʔ,e̞,141
s,z,140
ʔ,i,139
ʊ,o̞,139
t,ɾ,138
ð,ɛ,138
æ,e,137
ʔ,aː,137
æ,æː,136
ʒ,i,135
a,ɛ,133
e,j,132
l,o,132
ɹ,u,131
ɪ,a,131
w,o,130
ɹ,o,127
l̩,u,127
ɹ,ɡ,127
ʉ,ɨ,126
t,j,124
ɹ,i,123
ʌ,ä,121
ʔ,ɔ,121
ɪ,ɔ,120
o,oː,120
l,u,120
i,a,119
ɹ,ɛ,119
d,ɾ,118
ʊ,ø,117
ʊ,r,116
ɔ,o̞,115
ʃ,i,115
ɹ,ɔ,115
ɛ,æ,113
ɚ,j,113
ɹ,ʂ,111
f,v,111
ɹ̩,u,111
ɚ,y,110
ɹ,l,109
l,o̞,108
l̩,o̞,108
ʒ,d͡ʑ,108
ɪ,ɕ,107
ɪ,w,107
l,a,106
ʉ,uː,106
s,ɕ,106
ɨ,ɒ,106
a,ɑ,106
ɹ̩,ɒ,105
ʌ,ɑ,104
ɚ,a,104
m,n,103
g,w,102
ʔ,n,102
a,äː,101
t,tː,101
t,ɛ,100
ɛ,j,99
ɹ̩,ɨ,96
t,i,96
ɔ,äː,95
ʔ,r,93
ʃ,ɛ,93
ɹ̩,a,93
ə,ø,92
ɪ,ø,92
ɪ,aː,92
ʔ,ä,90
l,j,90
ɨ,o,90
ɔ,ɑː,90
e,e̞,87
ɹ̩,j,86
ə̥,ɨ,85
t,a,85
i,u,85
i,eː,85
ɹ,aː,85
w,v,85
ʌ,aː,84
ɾ,i,84
ɨ,d,84
ʒ,j,84
ɹ,ɒ,84
ŋ,ɡ,83
a,i,83
ɚ,i,82
ð,θ,82
n̩,i,82
d,n,81
ɹ,ɯ,81
æ,eː,81
ɔ,u,81
o,ɑ,81
ɛ,e̞,80
n,j,80
θ,s,80
k,t,80
ɑ,ɑː,79
d,ɛ,79
ʊ,ɒ,78
ɔ,ɔː,78
ɾ,n,78
ɾ̃,aː,78
ɨ,y,78
s,sː,77
ɪ,o,76
n̩,ɨ,76
l̩,oː,76
ð,a,75
g,ɛ,75
ð,ɔ,74
ɹ,ɨ,74
ð,n,73
d,ɖ,72
ɾ,ɛ,72
ʊ,ɨ,72
a,ɒ,70
d,ɟ,70
ʔ,o̞,70
ɪ,l,69
u,uː,69
ʔ,u,69
ʉ,j,69
æ,ɛː,69
n,ɲ,69
i,e̞,68
ɹ̩,ɯ,68
n̩,ɛ,68
ə,n,68
ɑ,r,68
ʉ,ø,66
ɔ,i,66
o,ä,66
d,i,66
ʔ,w,65
ɹ,n,65
ɛ,eː,65
l,ɒ,65
æ,r,65
ɹ̩,i,65
ɹ̩,ɾ,65
ʒ,y,64
ə,o̞,63
ɚ,w,63
ɪ,ɲ,63
g,aː,62
ɨ,ɡ,62
ɾ,l,62
ə,ɑ,62
ɪ,ɾ,61
ʃ,t͡ɕ,61
ɑ,ɒː,61
h,ç,61
ɔ,r,60
æ,äː,60
ʃ,ɔ,59
ð,ɨ,59
ɹ,ø,59
ə,r,59
d,t͡ɕ,59
n,m,58
l,i,58
ʊ,ɯ,58
æ,v,58
ɨ,w,57
ʊ,ɛ,57
m̩,m,57
æ,e̞,57
ɔ,ɾ,57
ɹ,ʋ,57
ɪ,s,57
ð,v,56
e,æ,56
ʔ,d,56
ʃ,a,56
ʊ,l,56
ʃ,aː,56
ɾ̃,a,55
ɹ̩,y,55
ɪ,ɯ,55
ɪ,u,54
ʌ,o,54
v,f,54
ʉ,øː,54
ʒ,ʑ,53
ʔ,ɾ,53
ɾ,ɖ,53
a,j,53
g,n,52
t,d͡ʑ,52
l̩,l,52
ɪ,ä,51
t,aː,51
ɨ,iː,51
ə,w,51
o,w,51
z,ʐ,51
o,j,50
l,v,50
t,y,50
æ,w,50
ʔ,eː,49
d,j,49
o,u,49
ɹ,d,49
ʊ,a,49
ʔ,ɔː,49
ɛ,ɒ,49
v,b,49
d,a,49
ɛ,ɔ,49
ə,ɯ,48
ɪ,ɒ,48
ɪ,t,47
ɨ,t,47
ð,aː,47
æ,ɡ,47
ɨ,ɛ̃,46
ʒ,aː,46
g,j,46
ə,j,46
ə,d,46
æ,n,46
ʒ,ʐ,45
ʒ,a,45
ʃ,o,45
ɨ,eː,44
i,ɯ,44
i,ɔ,44
ɨ,s,44
ʒ,ɯ,44
ɾ,a,44
ɹ̩,ɻ,44
ɪ,v,44
ʃ,t͡ʃ,44
n,nː,43
l,r,43
d,t͡s,43
t,e,43
ɑ,ɾ,42
ɔ,o̞ː,42
t,w,41
ə̥,i,41
ɚ,ɻ,41
e,ɔ,41
ɛ,ɨ,41
g,a,41
n̩,ɡ,40
ɾ̃,ɛ,40
ʊ,j,40
ɨ,æ,40
ɑ,h,40
t,ɨ,40
ð,ɒ,40
g,r,40
ɔ,w,40
ɚ,ɑ,40
d,aː,39
t,ʂ,39
a,ɑː,39
ʉ,ɨː,39
b,v,39
z,d͡z,39
p,f,38
e,ä,38
æ,h,38
ɪ,h,38
ɑ,w,38
ɚ,o̞,38
ʒ,u,38
z,ɛ,37
ə,ä,37
l,n,37
ɾ,ø,37
l,lː,37
s,ɛ,37
j,y,37
ʊ,ɡ,37
ʃ,ɨ,37
ɹ,y,37
ʒ,ø,37
ɾ,y,37
u,ɯ,37
ʔ,oː,36
u,w,36
ʃ,s,36
ʌ,r,36
l,ɛ,35
ɔ,n,35
ʉ,r,35
ɾ,j,35
ɪ,o̞,35
ɾ,ɨ,35
ɪ,d͡ʑ,35
t,d͡ʒ,35
s,ʃ,35
ɚ,v,34
g,i,34
ʃ,j,34
ʒ,d͡ʒ,34
ʉ,w,34
t,ɔ,34
w,m,34
ɑ,j,34
ʊ,d,34
h,x,33
ʌ,n,33
a,æ,33
t,t͡r,33
ɪ,ʂ,33
æ,l,33
ɨ,ɲ,33
w,ɔ,32
ɡ,g,32
ɨ,ɾ,32
ɹ̩,øː,32
ʊ,i,32
ð,l,32
ʒ,o,31
l̩,a,31
ɹ,e,31
ʃ,r,31
d,dː,31
t,e̞,31
ɾ,ɒ,31
e,r,31
ɚ,ɔː,31
ʌ,w,31
t,p,31
ɹ,d͡ʑ,31
n,d,31
l,d,31
n̩,ɯ,31
i,ɒ,30
ɛ,r,30
ʃ,ɛ̃,30
ŋ,i,30
ɚ,d,30
s,j,30
ŋ,ɴ,30
ə̥,ɛ,30
w,h,30
ɚ,ʂ,30
u,y,30
ə,æ,30
e,ɒ,30
l,aː,30
ʌ,j,30
ð,e,30
l,ɨ,30
ɨ,d͡ʑ,30
z,n,30
z,r,30
n̩,ɔ,30
t,u,30
ə,e,29
ə,i,29
o,ɔː,29
s,ɔ,29
d,t͡ʃ,29
ɔ,ɒː,29
e,ɑ,28
o,o̞ː,28
h,ɛ,28
ɛ,aː,28
j,u,28
k,kʲ,28
ð,j,28
ʃ,w,28
ʊ,y,28
æ,ɻ,28
ɨ,v,28
u,ɨ,28
ɑ,o,28
ʔ,äː,28
ɦ,ɛ,28
d,w,28
ɪ,t͡s,27
ə,t,27
n,ɛ,27
ɾ̃,o,27
ɨ,ä,27
a,h,27
ɾ,u,27
ɚ,ä,27
l,s,27
ɨ,ɑ,27
p,pː,27
ɾ̃,j,26
a,r,26
t,ɯ,26
ɚ,s,26
a,ɡ,26
ɾ,o,26
ʔ,ɑ,26
ɾ̃,ɒ,26
ð,i,26
æ,i,26
ɛ,i,26
ɛ,ä,26
ɛ,ɑ,26
ʃ,ø,25
ɦ,a,25
ɾ,t,25
t,ʔ,25
ɪ,ɻ,25
ʃ,n,25
ʌ,d,24
j,iː,24
t,h,24
ɛ,ɛː,24
ɾ,e,24
ɹ̩,w,24
ʊ,aː,24
ʌ,ɨ,24
o,ø,24
ɾ̃,r,24
ɾ̃,i,24
t,ɕ,24
l,ɡ,24
θ,ð,24
ɪ,y,24
ʊ,m,24
ɡ,k,24
i,r,23
ʔ,h,23
ɨ,o̞,23
d,ɨ,23
θ,f,23
ɛ,n,23
l,t,23
o,n,23
ɨ,ɻ,23
æ,ɒ,23
ʃ,iː,23
ɹ,ä,23
ŋ,e,23
l̩,ɒ,23
ɪ,m,22
m̩,ɨ,22
g,e,22
ə̥,ɔ,22
l̩,o̞ː,22
ʃ,ɒ,22
ə,s,22
ɪ,t͡ɕ,22
i,o,22
ɨ,l,22
ɚ,aː,22
ɾ̃,ä,22
ɔ,h,22
ð,z,22
ʊ,oː,22
ə,v,22
z,ɕ,22
ɨ,h,22
s,r,22
k,d,22
t,l,21
ʒ,ɨ,21
l,ä,21
ɨ,ʂ,21
ɾ,ɔ,21
w,j,21
θ,r,21
ɪ,ɑ,21
t,k,21
e,w,21
ʒ,n,21
t,ɒ,21
a,w,21
z,t,21
l,ɑ,21
ŋ,k,20
ɨ,ɕ,20
ɪ,øː,20
n̩,e,20
w,b,20
l,h,20
ɔ,l,20
ð,s,20
s,i,20
a,ɔ,20
d,l,20
ɾ̃,eː,20
ʊ,s,20
i,w,20
ʔ,l,20
d,ɔ,20
ɪ,e̞ː,19
æ,ʂ,19
l,ɯ,19
s,t,19
z,j,19
ɑ,n,19
k,aː,19
s,aː,19
ʌ,ø,19
