original,substitution,total_substitutions
ɪ,j,6444
ɨ,ə,4545
ʊ,w,3049
ɨ,ɪ,2958
ɾ,t,2554
ɚ,ɹ̩,2429
g,ɡ,2395
ʉ,u,1989
ɦ,h,1364
d,d͡ʒ,1108
ɛ,æ,1083
ɚ,ɹ,1033
l̩,ə,1032
ɨ,æ,999
ɾ̃,n,937
t,t͡ʃ,884
ɾ,d,858
ʔ,t,787
ɨ,i,785
ɪ,ə,734
ɚ,ɔ,695
o,ɑ,673
ɔ,ɑ,614
ɔ,o,593
n̩,ə,571
i,ɪ,565
ʌ,ə,461
s,z,393
ə,ʌ,386
i,ə,355
ɪ,i,330
ɔ,j,320
ʔ,æ,309
ʊ,n,302
ʒ,j,301
ə,ɪ,297
ɾ̃,t,293
ʔ,ɪ,291
ɹ̩,ɹ,284
ə̥,ə,280
ʔ,o,280
ɹ̩,ɔ,264
ɪ,æ,262
θ,ð,224
g,d,222
ʒ,ə,217
ɑ,ɔ,210
n̩,æ,207
z,s,205
ʔ,ə,205
ə,ɑ,203
ɹ,ɹ̩,201
ŋ,n,193
ɨ,t,191
ʉ,ə,178
ʌ,ɑ,164
ɛ,ə,164
ɪ,ɛ,160
ɑ,a,160
g,n,141
ɨ,ʌ,136
ʒ,d͡ʒ,132
d,t,130
ʃ,t͡ʃ,129
ɨ,ɛ,127
ə,æ,127
ɚ,ə,119
e,ə,118
n,ŋ,114
H,ð,112
ə,ɹ̩,110
ɨ,n,109
ʃ,ə,107
ʒ,ɪ,106
ʉ,j,99
ɹ̩,ʊ,98
ɚ,ɑ,98
ɨ,ɹ,95
ɹ̩,ɛ,89
ɨ,h,89
n̩,n,88
ʔ,ɑ,87
ʃ,s,82
ɨ,ɑ,79
ʃ,ɹ̩,78
ɨ,u,78
l̩,ɪ,77
ɨ,d,76
ʔ,ɔ,75
ə,o,75
m̩,ə,72
ʔ,l,72
ɨ,ɹ̩,71
ɾ,ə,71
u,ə,69
ɨ,ð,64
ɨ,ʊ,60
n̩,ɪ,56
ə̥,ɪ,55
ə,ɛ,52
i,ɛ,51
l̩,l,50
ʔ,ɹ,50
ɪ,o,50
ɚ,t,49
ʊ,ɔ,49
ɛ,ɪ,48
ʔ,n,48
ʒ,ɹ̩,48
ɨ,j,48
ɨ,l,47
ʊ,j,46
ɛ,e,46
ɚ,ɛ,46
ʊ,ə,44
ʒ,z,44
ʔ,ʌ,43
ʌ,o,41
ʔ,j,40
ɹ,w,40
ʃ,j,39
ʉ,t,38
ʒ,ʌ,38
ʌ,ɔ,37
ʔ,d,37
g,ə,36
g,l,36
ɾ,ɹ,35
e,i,35
ɚ,j,35
ɪ,t,35
v,b,35
ʔ,ɛ,35
ɹ̩,æ,35
m̩,ʌ,34
ə,ɹ,33
t,n,32
m,n,32
t,ə,32
ɹ̩,ɑ,32
ɛ,h,31
s,l,31
ɑ,æ,30
ʌ,ɛ,30
ɚ,ɪ,30
ŋ,d,30
g,ɹ,30
ʒ,o,29
ə,ɔ,29
ə̥,t,29
ɪ,ɹ,28
i,ð,28
ʊ,o,28
ʒ,u,28
e,æ,28
ɦ,d,27
ʌ,æ,27
ɪ,ɡ,27
t,d,26
ɪ,a,26
ɨ,ɔ,26
ð,θ,26
ɪ,n,26
ɨ,o,25
ʃ,u,25
ɛ,t,25
ɹ̩,ɪ,25
ʊ,ɑ,24
ɚ,d,24
ʊ,u,24
ʊ,ɪ,24
ŋ,ɡ,24
ɛ,n,23
ʔ,a,23
d,ə,23
ʃ,ɡ,22
ʌ,a,22
ʌ,ɹ̩,21
ʊ,ʌ,21
l̩,n,21
ɚ,h,21
d,ð,21
o,ə,20
ʒ,ɛ,20
ɔ,w,20
ɔ,ʊ,20
l̩,t,20
o,ɔ,20
ɔ,n,20
ŋ̍,ɪ,19
ə,u,19
m̩,ɹ,19
æ,ɛ,19
ɑ,w,18
ɨ,z,18
ɑ,ə,18
ʊ,ɹ,18
f,v,18
ɨ,e,18
t,ɹ,17
ʔ,ɹ̩,17
e,ɛ,17
ɪ,ʌ,17
ʌ,ɪ,17
l̩,w,16
ə,i,16
ɦ,l,16
d,u,16
ɪ,e,16
ɾ̃,æ,15
ʊ,ɹ̩,15
ɾ,ɪ,15
ɪ,ɹ̩,14
ʌ,ɹ,14
ɨ,ɡ,14
t,θ,14
ŋ̍,æ,14
ɚ,z,14
ʉ,i,14
ə,t,14
g,ɪ,14
ɦ,ə,14
d,ɡ,13
ɚ,i,13
ɹ̩,j,13
ʒ,t͡ʃ,13
j,i,13
ɾ,j,13
ʉ,ʊ,13
i,h,13
ɪ,d,13
ɾ,w,13
i,e,12
ʉ,ɡ,12
m̩,ɪ,12
æ,a,12
æ,ə,12
ɪ,s,12
ʔ,u,12
ɹ,j,12
a,æ,12
ʊ,l,12
ɪ,ɑ,12
æ,ɑ,12
d,ɹ,11
ɪ,l,11
ə̥,ð,11
ɛ,ʌ,11
d,n,11
ə̥,ɹ̩,11
ɔ,d,11
w,ə,11
t,z,11
æ,e,11
ɨ,s,11
ɚ,ɡ,11
ɦ,ɹ,11
n,ð,11
ʃ,d͡ʒ,11
n̩,t,11
ʉ,n,11
i,j,10
ɾ̃,d,10
ʃ,ɛ,10
ɑ,j,10
ɦ,æ,10
ʉ,d,10
ə̥,ʌ,10
ə,ʊ,10
s,n,10
ɪ,ʊ,10
t,l,10
ɔ,ɹ̩,9
ɑ,ʌ,9
ɔ,t,9
ʒ,æ,9
ɚ,ʊ,9
ʃ,æ,9
d,j,9
h,ɪ,9
ə,h,9
t,k,9
ʃ,ʒ,9
d,ɪ,9
t,ð,9
ʌ,t,9
ɾ̃,ɹ,9
ɚ,w,9
ɦ,t,9
i,n,9
ɪ,h,8
ʌ,l,8
ʔ,p,8
n,m,8
h,ə,8
n,d͡ʒ,8
ʌ,ð,8
ɦ,ɹ̩,8
i,d,8
ɔ,m,8
ʉ,ɹ,8
ɨ,ŋ,8
g,t,8
ɛ,d,8
p,t,8
ə̥,u,8
t,ɪ,8
ʃ,ɪ,8
l̩,ʊ,8
f,p,8
ʃ,h,8
ɛ,a,7
ɨ,a,7
t,s,7
ʉ,ʃ,7
ʉ,ɔ,7
ɾ,ð,7
l̩,ɹ,7
ɔ,p,7
ɾ̃,ɪ,7
ɔ,k,7
t,d͡ʒ,7
ʒ,ɔ,7
ɨ,w,7
ə,d,7
ʃ,t,7
ɚ,b,7
ɑ,d,7
ɹ,a,7
ɾ̃,ŋ,7
ɛ,l,7
ɹ,ə,7
ɾ,u,7
ə̥,ɹ,7
l̩,ɛ,7
g,u,7
ə̥,i,7
ʃ,ɔ,6
ʒ,ɡ,6
ə,l,6
ʃ,ʌ,6
ɔ,l,6
ɾ,ɹ̩,6
ɹ,t,6
ɛ,ɹ̩,6
t,w,6
ɹ,ɪ,6
z,ɪ,6
k,ɡ,6
l̩,o,6
ʉ,l,6
u,ɹ̩,6
ə,a,6
ŋ̍,ŋ,6
ɚ,ʌ,6
ʔ,w,6
ɾ,æ,6
g,k,6
ʌ,h,6
a,ɑ,6
s,ʃ,6
a,i,6
ʊ,t,6
ɾ,l,6
ɑ,t,5
ʌ,n,5
s,ɪ,5
u,o,5
ʉ,m,5
t,u,5
ɚ,l,5
d,z,5
e,a,5
ɪ,ɔ,5
s,t,5
ə̥,j,5
ɪ,ð,5
ɾ̃,ɛ,5
z,d͡ʒ,5
ʒ,h,5
H,θ,5
ɚ,n,5
ɛ,i,5
i,ɹ,5
d,l,5
ʃ,d,5
ɹ̩,ʌ,5
ɚ,a,5
n̩,ɛ,5
l̩,ʌ,5
u,t,5
m̩,k,5
ɔ,ə,5
ɑ,ɹ̩,4
e,d,4
æ,d,4
o,d,4
ʃ,n,4
n,s,4
æ,ɪ,4
ɑ,ɹ,4
b,p,4
ɨ,m,4
n,ɪ,4
h,æ,4
ə̥,æ,4
l̩,a,4
ɔ,ʌ,4
ɪ,u,4
ʃ,ɹ,4
θ,t,4
ɨ,d͡ʒ,4
ə,w,4
ə̥,n,4
m̩,l,4
u,ʊ,4
ɛ,ɡ,4
i,l,4
j,u,4
ʃ,o,4
ɪ,w,4
ə,n,4
m̩,ɑ,4
t,j,4
ʒ,d,4
ʃ,a,4
ɾ̃,ə,4
ɹ,ɡ,4
s,m,4
ɨ,t͡ʃ,4
ð,d,4
ɛ,ð,4
a,e,4
ɦ,n,4
a,l,4
m̩,æ,4
u,w,4
v,f,4
g,ɹ̩,4
ɦ,u,4
u,i,3
j,ə,3
e,ɹ,3
ʒ,i,3
n̩,d,3
ə̥,ɔ,3
l̩,b,3
v,ə,3
g,ɑ,3
ʒ,t,3
z,u,3
ʌ,i,3
z,w,3
f,m,3
ʊ,s,3
p,b,3
ɪ,m,3
n,t,3
ɨ,f,3
a,ə,3
ʌ,u,3
ʃ,z,3
m̩,h,3
b,v,3
ɦ,i,3
w,j,3
o,ɛ,3
ə,v,3
ə,s,3
ɹ,b,3
g,z,3
ɛ,s,3
ʌ,k,3
o,l,3
ŋ,m,3
ɑ,l,3
ə̥,ʊ,3
ʉ,ɹ̩,3
z,ɡ,3
θ,ɪ,3
ɾ,k,3
l̩,ɹ̩,3
l,w,3
ə̥,ɑ,3
ʃ,ɑ,3
g,o,3
i,æ,3
ʉ,w,3
ə,ð,3
w,u,3
z,ʒ,3
ʔ,z,3
ɪ,z,3
ɾ̃,ɹ̩,3
ɛ,z,3
ɾ̃,h,3
ɚ,m,3
s,d,3
ɹ,i,3
e,ɡ,3
z,ð,3
ɔ,h,3
ɛ,ɑ,3
ʊ,ɛ,3
m̩,n,3
g,w,3
e,z,3
s,ɹ̩,3
ŋ,ə,2
ɚ,f,2
ɾ,o,2
θ,l,2
l̩,æ,2
ɦ,w,2
n̩,ɹ,2
o,ɪ,2
ʉ,b,2
o,a,2
ʌ,t͡ʃ,2
s,θ,2
l̩,ɡ,2
ɹ̩,l,2
h,d,2
ə̥,ɛ,2
s,w,2
ʌ,ɡ,2
ə̥,o,2
a,ʌ,2
s,æ,2
ɚ,t͡ʃ,2
ɦ,ɪ,2
ɾ,ɑ,2
ʒ,ɑ,2
t,p,2
ʉ,s,2
ʉ,ɑ,2
e,ð,2
m̩,m,2
æ,ɹ,2
ŋ,æ,2
ɹ̩,ə,2
ʔ,k,2
t,æ,2
g,m,2
i,t,2
ə̥,d,2
ʒ,n,2
w,b,2
ɹ̩,t,2
ʉ,d͡ʒ,2
ə,e,2
æ,j,2
z,t,2
ʉ,z,2
ɛ,ɹ,2
ʊ,d,2
ɪ,ŋ,2
ʌ,w,2
g,ɛ,2
m̩,u,2
z,j,2
i,ɡ,2
ʊ,æ,2
ɾ̃,ɡ,2
ɹ,s,2
v,s,2
b,m,2
ɦ,j,2
ɹ̩,i,2
m̩,ɛ,2
H,ɪ,2
ʃ,ð,2
ð,z,2
ʔ,ð,2
ʃ,l,2
ɑ,o,2
e,t͡ʃ,2
ʉ,a,2
ɹ,v,2
o,u,2
g,ŋ,2
ŋ,t,2
o,ɹ,2
ɚ,æ,2
H,ə,2
o,ʌ,2
m,ɪ,2
ɑ,ɪ,2
ɚ,v,2
ɾ̃,o,2
ɾ̃,s,2
e,ɑ,2
i,u,2
v,l,2
k,t,2
ɾ,i,2
w,ɪ,2
ɹ,o,2
ʉ,h,2
w,m,2
ʌ,d,2
l̩,j,2
ŋ̍,ɹ,1
i,w,1
s,e,1
n̩,s,1
m̩,i,1
ð,t,1
k,s,1
ʊ,ɡ,1
ɾ,z,1
n,ə,1
ŋ̍,ə,1
d,t͡ʃ,1
ɔ,ɛ,1
ʔ,t͡ʃ,1
d,θ,1
o,w,1
n̩,t͡ʃ,1
ə,j,1
ɛ,o,1
n,w,1
ɹ̩,u,1
ʃ,e,1
a,j,1
ɾ,e,1
i,ŋ,1
g,j,1
ɚ,u,1
l,j,1
ə,f,1
s,ɹ,1
ɑ,u,1
ʃ,ʊ,1
ɔ,u,1
ɹ,h,1
ʃ,f,1
d,e,1
ŋ,ɪ,1
n̩,ɹ̩,1
ɛ,b,1
ɚ,o,1
m,ɹ,1
w,ɹ,1
ʔ,b,1
ʒ,ɹ,1
w,ɛ,1
ŋ̍,t,1
ə,z,1
s,t͡ʃ,1
j,ʊ,1
a,h,1
j,d,1
θ,d,1
j,æ,1
s,j,1
ʊ,ŋ,1
ɾ̃,m,1
d,w,1
j,ɛ,1
ɚ,ð,1
s,ɛ,1
j,d͡ʒ,1
f,ə,1
ɨ,p,1
ɨ,k,1
n̩,j,1
ɔ,ð,1
b,f,1
k,ŋ,1
d,ʒ,1
ɔ,ɹ,1
ɦ,a,1
ɹ̩,o,1
s,u,1
i,a,1
g,h,1
ɾ̃,a,1
m,b,1
s,f,1
ɑ,h,1
f,θ,1
ʃ,θ,1
θ,f,1
ɦ,ŋ,1
s,ə,1
θ,w,1
m̩,t,1
t,ɑ,1
g,d͡ʒ,1
n̩,l,1
j,a,1
æ,w,1
j,ɪ,1
ʊ,v,1
i,s,1
ʒ,ð,1
v,p,1
ə,m,1
ɾ,n,1
n̩,ɑ,1
m̩,ɹ̩,1
ʔ,i,1
m,j,1
h,i,1
f,t,1
a,d,1
ʔ,d͡ʒ,1
d,ɹ̩,1
ʌ,ʊ,1
ɚ,d͡ʒ,1
d,i,1
l̩,ð,1
ɾ,h,1
ɾ̃,j,1
i,o,1
ɛ,w,1
ʌ,b,1
ɛ,m,1
n̩,i,1
t,e,1
n̩,a,1
H,d,1
k,z,1
h,ɔ,1
ə̥,e,1
e,b,1
b,ɡ,1
θ,s,1
l,ɹ,1
t,h,1
ɪ,d͡ʒ,1
ɾ,ɛ,1
j,w,1
ə̥,z,1
l̩,d,1
H,h,1
z,æ,1
ɾ̃,ɔ,1
ɾ̃,ð,1
ɹ,e,1
ɾ̃,ɑ,1
ð,v,1
m,d,1
ʒ,ʊ,1
a,z,1
ʔ,s,1
u,l,1
h,ɑ,1
ɦ,ɔ,1
f,ʌ,1
ʒ,w,1
d,s,1
t,ɹ̩,1
n,l,1
l̩,u,1
w,ɔ,1
ʊ,b,1
e,l,1
b,j,1
ʊ,d͡ʒ,1
ʉ,ɪ,1
ɨ,v,1
d,ɔ,1
ɔ,b,1
a,ɛ,1
ə̥,w,1
v,æ,1
w,f,1
e,d͡ʒ,1
ɾ,θ,1
ɦ,ʌ,1
ə,θ,1
n,e,1
H,æ,1
ʌ,s,1
ɨ,b,1
d,v,1
ʔ,m,1
j,ɡ,1
e,n,1
o,ð,1
ɔ,t͡ʃ,1
ɾ̃,w,1
ʉ,v,1
w,t,1
m,ŋ,1
v,n,1
æ,t,1
ɔ,a,1
d,o,1
ʔ,θ,1
s,h,1
ə̥,s,1
g,ʊ,1
v,d,1
f,n,1
s,k,1
ɹ,d,1
ʔ,ɡ,1
ʉ,t͡ʃ,1
n,d,1
d,ɑ,1
b,d,1
ʉ,e,1
e,t,1
f,o,1
d,ɛ,1
ɦ,k,1
ŋ̍,n,1
ʃ,k,1
ʊ,p,1
n̩,ʌ,1
t,ɡ,1
ʉ,ʌ,1
t,a,1
ɹ̩,m,1
s,ʊ,1
b,ɹ,1
ʒ,l,1
n,ɹ,1
