filename,ipa,allosaurus_eng2102_eng,ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,openai_whisper-large-v3-turbo_to_epitran,openai_whisper-medium.en_to_epitran
/complete/dr6/meal0/si2177.wav,ʃuwəzhoʊlɾɨŋʔɑɾ̃ʊɦɪzɹɑkwəðwʌnɦænd,ʃiwɑzhowldɪŋʌndɹ̩hɪzɹɑkwɪðwʌnhænd,ʃiwʊzhoʊlɾɪŋɑndʌhɪzɹɑkwʊðwʌnhænd,ʃiuzhoːiɲɒndhøzːäːkɨtwɔnhɛd,ʃiwɑzhowldɪŋɑntuhɪzɹɑkwɪðwʌnhænd.,ʃiwɑzhowldɪŋɑntuhɪzɹɑkwɪðwʌnhænd.
/complete/dr6/meal0/sx197.wav,dɹɔʔitʃgɹæfʌɾ̃eɪnuæksɨs,dɹɔit͡ʃɡɹæfɑnhɪnuæksəs,dʒɹɔitʃɡɹæfɑneɪnuæksɛs,t͡ʃoit͡ʃɡravɒninuːaːksøs,dɹɔit͡ʃɡɹæfɑnənuæksəs.,dɹɔit͡ʃɡɹæfɑnənuæksəs.
/complete/dr6/meal0/sa1.wav,ʃɨɦædʒɹ̩dɑɹksʉtʔɨŋgɹisɨwɔʃwɔɾɚʔɔljɨɚ,ʃihædjɔɹdɑɹksutænɡɹisiwɑʃwɔtɹ̩wljɪɹ,ʃɪhæddʒɹ̩dɑɹksuʔɪŋɡɹisiwɔʃwɔɾɹ̩ɔljɪɹ,ʃihɛd͡ʑodɒksyydenɡrisiwɔʃwɔrɔjøː,ʃihædjɔɹdɑɹksutændɡɹisiwɑʃwɔtɹ̩ɔljɪɹ.,ʃihædjɔɹdɑɹksutændɡɹisiwɑʃwɔtɹ̩ɔljɪɹ.
/complete/dr6/meal0/sx287.wav,n̩ʌlɔŋɹʌnɨtpeɪztɨbaɪkwɔləɾɨkloʊðɨŋ,ɪnəlɔŋɹʌnəpejstəbajkwɑlətiklowðɪŋ,n̩ʌlɔŋɹʌnʌpeɪstʌbaɪkwɑlʌɾikloʊðɪŋ,nɔlɔɡvɒnpɛiʃtbaːrkwɒoriklozeɲ,"ɪnðəlɔŋɹʌn,ɪtpejztəbajkwɑlətiklowðɪŋ.",ɪnðəlɔŋɹʌnɪtpejztəbajkwɑlətiklowðɪŋ.
/complete/dr6/meal0/sx347.wav,ðɨpeɪʃɨntʔɛnðəsɹ̩dʒɨɾ̃ɚboʊθɚkupɹɛɾɨŋfɚmðɨlɛŋθiʌpɹ̩eɪʃn̩,ðəpejʃəntændðəsɹ̩d͡ʒənɑɹbowθɹɔkupɹ̩ejtɪŋfɹʌmðəlɛŋkθiɑpɹ̩ejʃən,ðipeɪʃɪntɛnʌsɹ̩dʒʌnɹ̩boʊlθfɪkupɹeɪɾɪŋfʌmðilɛŋkθiʌpɹ̩eɪʃʌn,nipeɕɲn͡ɛnɔsøɾd͡ʑnɒbotfikupvɛdinfamilːɒɲɡθɛjɒpɒreːʃon,ðəpejʃəntændðəsɹ̩d͡ʒənɑɹbowθɹɪkupɹ̩ejtɪŋfɹʌmðəlɛŋθiɑpɹ̩ejʃən.,ðəpejʃəntændðəsɹ̩d͡ʒənɑɹbowθɹɪkupɹ̩ejtɪŋfɹʌmðəlɛŋθiɑpɹ̩ejʃən.
/complete/dr6/meal0/sx107.wav,bɹ̩θdeɪpɑɹɾizhɛvkʌpkeɪksɨɾ̃aɪskɹim,bɹ̩θejpɑɹtizhævkʌpkejksændajskɹim,bʌtteɪpɑɹɾizhævkʌpkɛksʌnaɪskɹeɪm,botɒjpɒrlisɛvkapːkɛiksɒnaʃkɒim,bɹ̩θdejpɑɹtizhævkʌpkejksændajskɹim.,bɹ̩θdejpɑɹtizhævkʌpkejksændajskɹim.
/complete/dr6/meal0/sx377.wav,ʃɨʔoʊɨʒdʒoʊksbʌtʉmʌtʃgɑɹlɨkɨɾ̃ɨzfud,ʃiɔlwejzd͡ʒowksbawtumʌt͡ʃɡɑɹlɪkənɪzfud,ʃioʊweɪʒdʒoʊksbʌttumʌtʃkɑɹlʌkɛnʌzfuɾ,ʃiɔwiʃd͡ʑoɡswɑdt͡ʃimɒdkɒrlkinosføːd,ʃiɔlwejzd͡ʒowksəbawttumʌt͡ʃɡɑɹlɪkɪnðɪsfud.,ʃiɔlwejzd͡ʒowksəbawttumʌt͡ʃɡɑɹlɪkɪnðɪsfud.
/complete/dr6/meal0/si1547.wav,ʔɨɾɪziseɪmoʊlseɪmtɛlmiɨtsneɪm,ɪtɪzðəfejməlsejmtɛlmiɪtsnejm,ɪɾɪzðiseɪmʌlseɪmtɛlmiɪtsneɪm,eɾɨzdisɛimosɛmtɛmijːt͡snɛim,"ɪtɪzðəsejmowldsejm,tɛlmiɪtsnejm.","ɪtɪzðəsejmowlsejm,tɛlmiɪtsnejm."
/complete/dr6/meal0/si917.wav,sʌmwəmɨŋgɛɾɨɹɪlθɹɪlaʊɾəvɦaʊswɚk,sʌmwɪmənɡɛtəɹilθɹɪlətʌvhawswɹ̩k,sʌmwʊmʌɡʌɾɛɹɪlθɹɪlɑɾʌvhaʊswɹ̩k,sɒnbɨmɨɡɛrivoːfθroɒdøvhɛosvoɡ,sʌmwɪmənɡɛtəɹilθɹɪlawtʌvhawswɹ̩k.,sʌmwɪmənɡɛtəɹilθɹɪlawtʌvhawswɹ̩k.
/complete/dr6/meal0/sa2.wav,dʌɾ̃æsmɪkɛɹiɨɾ̃ɨʔɔɪliɹæglaɪkðæt,dwnætsɹɪtikæɹiænɔɹðiɹæɡlɪɡzæt,dʌɾ̃ɛsmɪɾɪkæɹiɛnɔɹðeɪɹæɡlaɪkðæʔ,donɒʃmødikɛlɒjønorlivaːɡlɒɡdaː,dɑntæskmitəkæɹiænojliɹæɡlajkðæt.,dɑntæskmitəkæɹiænojliɹæɡlajkðæt.
