original,substitution,total_substitutions
ʌ,ə,2723
i,iː,2462
ɾ̃,n,1657
u,uː,1565
ɑ,ɑː,1552
ɹ̩,ɚ,1538
ɪ,ə,1354
ʔ,t,1174
ɛ,æ,906
i,ɪ,851
ʌ,ɐ,796
ɹ̩,ɜː,755
ʌ,ɪ,692
s,z,690
ɔ,ɔː,642
ɾ,d,622
ʌ,a,585
n̩,ə,580
ɔ,ɑː,503
l̩,ə,493
ɛ,ə,456
ʌ,æ,454
ɪ,ɛ,435
ɛ,ɪ,429
ʌ,ɚ,382
ʌ,ɛ,376
n,ð,368
ɪ,ᵻ,360
ɪ,æ,326
d,t,299
ɪ,uː,295
ɪ,ʌ,279
ɑ,a,263
ʌ,n,250
θ,ð,248
ɪ,iː,247
ʊ,ə,222
ɪ,i,216
ʌ,o,214
ɹ̩,ɹ,208
j,iː,205
ʌ,ɑː,192
ʊ,ʌ,190
ʌ,t,187
ɛ,e,186
ɪ,n,185
n̩,n,181
æ,ɛ,177
o,a,175
t,d,175
ʌ,ð,175
ɪ,ɐ,174
a,æ,174
ʌ,uː,173
ɑ,æ,172
j,uː,161
t,ɾ,155
ʔ,n,148
ɛ,a,147
ɑ,ʌ,142
n̩,ɪ,137
j,i,136
ɛ,ɜː,131
z,s,127
ʌ,ɹ,125
ʌ,d,123
ʌ,ɜː,122
n,ŋ,121
i,e,120
ʌ,aː,116
ŋ,n,116
ʊ,ɪ,115
o,ɔː,113
n,d,112
j,ɪ,110
i,ə,107
u,ə,107
ɛ,ɚ,106
æ,a,104
ʌ,ᵻ,103
d,ɾ,103
ɾ,t,101
n̩,æ,101
f,v,101
ɪ,t,99
e,ɛ,97
ɡ,k,94
m,n,91
ɪ,ɚ,91
u,iː,89
ʃ,s,88
ɹ,ɪ,87
ɪ,d,87
ʌ,l,85
ɑ,ɔ,85
ɛ,ɐ,85
o,ɔ,84
ʌ,ɔ,84
j,n,83
ɛ,ʌ,82
o,ə,82
d,ð,78
t,ə,78
ɔ,a,78
ɔ,o,77
ɪ,ɹ,75
ʌ,ʊ,74
ʊ̃,ʊ,72
ɔ,oː,72
m̩,ə,71
s,t,70
j,h,68
ɪ,ð,68
ɛ,n,68
n,m,68
æ,e,67
d,ə,66
n,t,66
θ,t,66
a,ɛ,66
ð,t,63
ʌ,iː,60
e,a,60
ɾ,r,60
ɾ̃,ɪ,59
l̩,l,59
